更新时间,#genre#
CCTV3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk$IPV6『线路25』
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8$IPV6『线路26』
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路27』
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路28』
CCTV3,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010212/$IPV6『线路29』
CCTV3,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010212/main.m3u8$IPV6『线路30』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$IPV6『线路31』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000011218/1.m3u8$IPV6『线路32』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/$IPV6『线路33』
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路34』
CCTV3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路35』
CCTV3,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010212/$IPV6『线路36』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/$IPV6『线路37』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8?$IPV6『线路38』
CCTV3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路39』
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$IPV6『线路40』
CCTV3,http://111.178.101.205:9999/rtp/239.69.1.122:10370$IPV4『线路41』
CCTV3,http://121.63.2.11:18000/rtp/239.69.1.122:10370$IPV4『线路42』
CCTV3,http://171.83.136.213:8989/rtp/239.69.1.122:10370$IPV4『线路43』
CCTV3,http://221.234.220.233:4022/rtp/239.69.1.122:10370$IPV4『线路44』
CCTV3,http://27.19.146.209:2701/rtp/239.69.1.122:10370$IPV4『线路45』
CCTV3,http://27.17.237.199:8088/rtp/239.69.1.122:10370$IPV4『线路46』
CCTV3,http://27.19.48.39:4022/rtp/239.69.1.122:10370$IPV4『线路47』
CCTV3,http://221.233.101.41:777/rtp/239.69.1.122:10370$IPV4『线路48』
CCTV3,http://222.138.212.223:9999/rtp/225.1.4.158:1194$IPV4『线路49』
CCTV3,http://42.237.178.219:4000/rtp/225.1.4.158:1194$IPV4『线路50』
CCTV3,http://222.142.118.102:4000/rtp/225.1.4.158:1194$IPV4『线路51』
CCTV3,http://123.118.0.177:4022/rtp/239.3.1.172:8001$IPV4『线路52』
CCTV3,http://222.131.15.137:4000/rtp/239.3.1.172:8001$IPV4『线路53』
CCTV3,http://114.254.38.103:8887/rtp/239.3.1.172:8001$IPV4『线路54』
CCTV3,http://114.246.181.171:4022/rtp/239.3.1.172:8001$IPV4『线路55』
CCTV3,http://111.225.93.108:33333/hls/5/index.m3u8$IPV4『线路56』
CCTV3,http://111.225.93.108:33333/hls/6/index.m3u8$IPV4『线路57』
CCTV3,http://116.233.34.25:7777/tsfile/live/0003_1.m3u8$IPV4『线路58』
CCTV3,http://60.189.61.9:9999/udp/233.50.201.196:5140$IPV4『线路59』
CCTV3,http://60.189.61.9:9999/udp/233.50.201.196:5140$IPV4『线路60』
CCTV3,http://120.0.52.126:4022/rtp/239.253.92.191:6057$IPV4『线路61』
CCTV3,http://27.10.134.196:8003/udp/225.0.4.142:7980$IPV4『线路62』
CCTV3,http://27.10.134.196:8001/udp/225.0.4.142:7980$IPV4『线路63』
CCTV3,http://60.220.167.216:8085/rtp/226.0.2.208:9576$IPV4『线路64』
CCTV3,http://60.220.167.216:8084/rtp/226.0.2.208:9576$IPV4『线路65』
CCTV3,http://60.220.167.216:8082/rtp/226.0.2.208:9576$IPV4『线路66』
